,name,address,international_phone_number,url,rating,reviews_count,language,comment,phone_1,phone_2,e-mail_1,e-mail_2,message,email_2
120,ZOM HOUSE.COM,"Av. de los Olmos, 1, OFICINA 122, 01013 Vitoria-Gasteiz, Álava, España",,https://www.zomhouse.com/,,,es,Google reviews: * / None,+34688779446,+34666590415,inmo@globalzom.com,,success,
121,Extensión Comercial,"01013 Gamarra Mayor / Gamarra Nagusia, Álava, España",,https://www.extensioncomercial.com/,,,es,Google reviews: * / None,+34635745522,,contacto@extensioncomercial.com,,success,
122,Inmobiliaria Toloño 2002 S L,"Avenida Diputación De Álava, 10, 01330 Labastida / Bastida, Araba, España",+34945331594,http://www.inmobiliariatolono.es/,4.0,6.0,es,Google reviews: 4* / 6,+34941305722,+34941324261,haro@inmobiliariatolono.es,casalarreina@inmobiliariatolono.es,"too many offices, not giving contacts to avoid misunderstanding",
123,Alojamiento Rural Abuela Andrea,"Barrio de Abajo Auzoa, 4, 01213 Molinilla, Álava, España",,http://www.abuelaandrea.es/,4.6,43.0,es,Google reviews: 4.6* / 43,+34607026062,,aticraul@gmail.com,,success,
124,Gorbea Centro Caravaning,"Km. 343, C/ Tratado de París, Pol. Ind. Subillabide, Ctra. N-I, 19, 01230 Nanclares de la Oca / Langraiz Oka, Álava, España",,https://www.caravaning-gorbea.com/,3.8,290.0,es,Google reviews: 3.8* / 290,+34945240417,,,,success,
125,Fincas Ansótegui,"01320 Oyón-Oion, Álava, España",,https://fincasansotegui.es/,,,es,Google reviews: * / None,+34945622010,+34659568224,info@fincasansotegui.com,,success,
126,Inmobiliaria Nervión Ayala,"Aiara Etorbidea, 2, 01470 Amurrio, Araba, España",,http://www.inervion.com/,5.0,40.0,es,Google reviews: 5* / 40,+34688823980,,info@inervion.com,,succes,
127,Inmobiliaria Etxaurre,"Zumalakarregi Hiribidea, 38, 01400 Laudio / Llodio, Araba, España",,http://www.etxaurre.com/,4.8,114.0,es,Google reviews: 4.8* / 114,+34946728550,,info@etxaurre.com,,success,
128,Egubegi Inmobiliaria,"Alava Kalea, 1, 01400 Laudio / Llodio, Araba, España",,http://egubegi.com/,4.6,11.0,es,Google reviews: 4.6* / 11,+34946561625,,egubegiinmobiliaria@gmail.com,,success,
129,Fincas IPS,"Zumalakarregi Hiribidea, 56, bajo, 01400 Laudio / Llodio, Araba, España",+34946720434,http://fincasips.com/,5.0,1.0,es,Google reviews: 5* / 1,+34945107885,+34945891654,inmo@fincasips.com,info@fincasips.com,succes,
130,INMOBILIARIA INTXAURRONDO,"Herriko Plaza, 10, 01400 Laudio / Llodio, Araba, España",+34946726619,,3.2,5.0,es,Google reviews: 3.2* / 5,,,,,error: No contact information found.,
131,Ondare Bizi,"Zumalakarregi Hiribidea, 56, 01400 Laudio / Llodio, Araba, España",+34688717897,,,,es,Google reviews: * / None,,,,,error: No contact information found on the page.,
132,FINCAS LLANO,"Lamuza Kalea, 5, 01400 Laudio / Llodio, Araba, España",,https://www.fincasllano.es/location/delika,,,es,Google reviews: * / None,+34946721750,+34659158682,,,success,
133,Fincas IPS,"Mendiko Kalea, 4, bajo, 01470 Amurrio, Araba, España",,https://www.fincasips.com/,4.0,36.0,es,Google reviews: 4* / 36,+34945107885,+34945891654,inmo@fincasips.com,,succes,info@fincasips.com
134,inmobiliaria LANDAKO,"C/ Dioniso Aldama nº5, (esquina c/ Landako) Galerías SAN ANTÓN, 01470 Amurrio, Álava, España",+34665719202,http://landako.jimdoweb.com/,4.6,39.0,es,Google reviews: 4.6* / 39,+34665-719202,,,,success,
135,"Inmobiliaria Armuru, S.L.","Aldai Kalea, 1, 01470 Amurrio, Araba, España",,http://www.inmobiliariarmuru.com/inmuebles/,4.7,57.0,es,Google reviews: 4.7* / 57,+34945892382,+34747485036,infoastri@ainmobiliariarmuru.com,,success,
